	1	2	3	4	5	6	7	8	9	10	y

1	0,00	0,34	0,23	0,46	0,45	0,21	0,30	0,48	0,68	0,57

2	0,34	0,00	0,26	0,20	0,24	0,52	0,45	0,15	0,46	0,31

3	0,23	0,26	0,00	0,45	0,47	0,31	0,49	0,40	0,46	0,56

4	0,46	0,20	0,45	0,00	0,07	0,67	0,44	0,16	0,60	0,11

5	0,45	0,24	0,47	0,07	0,00	0,66	0,38	0,23	0,67	0,13

6	0,21	0,52	0,31	0,67	0,66	0,00	0,46	0,67	0,75	0,78

7	0,30	0,45	0,49	0,44	0,38	0,46	0,00	0,54	0,89	0,51

8	0,48	0,15	0,40	0,16	0,23	0,67	0,54	0,00	0,45	0,22

9	0,68	0,46	0,46	0,60	0,67	0,75	0,89	0,45	0,00	0,67

10	0,57	0,31	0,56	0,11	0,13	0,78	0,51	0,22	0,67	0,00

